id,type,address,number,postal_code,municipality,province,location,public,available,hours,Latitude,Longitude
13.0,,Blvd. Fr. Roosevelt,24.0,7060.0,SOIGNIES,Hainaut,,Y,,,50.57930349999999,4.0666287
70.0,,Ch. De Wégimont,76.0,4630.0,Ayeneux,Liège,,,,,50.6109296,5.7393151
71.0,,Place Saint - Lambert,,4020.0,Liège,Liège,,,,,50.6456222,5.5736201
72.0,,Rue du Doyard,,4990.0,Lierneux,Liège,,,,,50.2874163,5.7863246
73.0,,Fond Saint Servais,,4000.0,Liège,Liège,,,,,50.6468058,5.5710309
74.0,,Rue des Prémontrès,12.0,4020.0,Liège,Liège,,,,,50.6380181,5.5739754
75.0,,Route de Bastogne,1.0,4920.0,Harzé,Liège,,,,,50.4411102,5.6658992
76.0,,Rue du Parc,1.0,4540.0,Jehay,Liège,,,,,50.5724773,5.3247092
77.0,,Blvd. De la Constitution,19.0,4020.0,Liège,Liège,,,,,50.6434982,5.583673
78.0,,Place de la République française ,,4000.0,Liège,Liège,,,,,50.6434288,5.5718235
79.0,,Rue Darchis,33.0,4020.0,Liège,Liège,,,,,50.63701649999999,5.5652041
86.0,,Schumanplein,11.0,1040.0,Brussel,Bruxelles-Brussel,,,,,50.8428222,4.384307499999999
87.0,,Uitbreidingstraat,,2600.0,Berchem,Antwerpen,,,,,51.1967334,4.4294545
95.0,,Peperstraat,2.0,3300.0,TIENEN,Vlaams-Brabant,,Y,,,50.8068178,4.9373837
96.0,,Graafschap - Jettelaan,2.0,1090.0,Brussel,Bruxelles-Brussel,,,,,50.8830175,4.3331515
97.0,,Sint-Pieterskerstraat,,1090.0,Brussel,Bruxelles-Brussel,,,,,50.8802534,4.3250605
98.0,,Wemmelsestweg,100.0,1090.0,Brussel,Bruxelles-Brussel,,,,,50.8587022,4.3359125
100.0,,Rue Pietro Ferrero,5.0,6700.0,ARLON,Luxembourg,,N,,,49.6735536,5.820462399999999
101.0,,Tweestationsstraat,80.0,1070.0,Brussel,Bruxelles-Brussel,,,,,50.832142,4.3274689
102.0,,Nieuwe Weg ,1.0,2070.0,ZWIJNDRECHT,Antwerpen,,Y,,,51.2433477,4.3253167
111.0,,Hermeslaan,2.0,1831.0,MachelenBt),Vlaams-Brabant,,,,,50.8812562,4.4422935
115.0,,Gemeenteplein,1.0,3798.0,Voeren  s Gravenvoeren,Limburg,,Y,,,50.759905,5.7598731
116.0,,Remersdaal-Dorp,1.0,3791.0,Remersdaal,Limburg,,,,,50.7311732,5.8809444
117.0,,Sint-Pieterstraat ,20.0,3792.0,Sint-Pieters-Voeren,Limburg,,Y,,,50.73797219999999,5.8232275
118.0,,Kerkplein,1.0,3790.0,Moelingen,Limburg,,Y,,,50.7570096,5.713497299999999
119.0,,Gieveldstraat,,3793.0,Teuven,Limburg,,Y,,,50.7518324,5.8759546
120.0,,Kerkstraat,1.0,3790.0,VOEREN,Limburg,,Y,,,50.7494078,5.8125437
167.0,,Vanhalstraat,1.0,1500.0,Halle,Vlaams-Brabant,,y,,,51.87676010000001,5.9697317
170.0,,Brikkenovenstraat,48.0,3600.0,Genk,Limburg,,N,,,50.9777421,5.4718846
214.0,,Rue de l église,,1150.0,Bruxelles,Bruxelles-Brussel,,,,,50.8407211,4.4634331
218.0,,Cours des mineurs,,4000.0,Liège,Liège,,,,,50.6472929,5.5760923
219.0,,Rue des Croisiers,15.0,4000.0,Liège,Liège,,,,,50.638932,5.575317099999999
220.0,,Rue de l école technique ,,4040.0,Herstal,Liège,,,,,50.6715508,5.6402438
221.0,,Rue de Wallonie,30.0,4460.0,Bierset,Liège,,,,,50.65781380000001,5.4934921
222.0,,Rue Paul d Andrimont,24.0,4630.0,Micheroux,Liège,,,,,50.6230144,5.711755699999999
223.0,,Bd. Léon Philippet,83.0,4000.0,Liège,Liège,,,,,50.6529901,5.5584547
224.0,,Rue du Commerce,14.0,4100.0,Seraing,Liège,,,,,50.61296859999999,5.5076623
225.0,,Rue Peetermans,80.0,4100.0,Seraing,Liège,,,,,50.6108128,5.5101301
226.0,,Rue J. Stassart,15.0,4367.0,Crisnée,Liège,,,,,50.7081916,5.3922851
227.0,,Route de Dinant,119.0,4020.0,Liège,Liège,,,,,50.6415737,5.5823234
228.0,,Rue de Huy,123.0,4300.0,Waremme,Liège,,,,,50.68623220000001,5.253145200000001
229.0,,Rue de Sélys,35.0,4300.0,Waremme,Liège,,,,,50.692572,5.245337999999999
230.0,,Rue St. Pierre,48.0,4500.0,Huy,Liège,,,,,50.5230569,5.2363117
231.0,,Avenue Delchambre,6.0,4500.0,Huy,Liège,,,,,50.5217995,5.241730899999999
232.0,,Rue Lambert Marlet,23.0,4020.0,Liège,Liège,,,,,50.6863168,5.7220189
233.0,,Rue Aux Laines,69.0,4800.0,Verviers,Liège,,,,,50.5894863,5.853944299999999
234.0,,Rue av. Peltzer,40.0,4020.0,Liège,Liège,,,,,50.5832226,5.8541304
235.0,,Route du Canada,157.0,4910.0,La Reid,Liège,,,,,46.2072429,6.0732718
